flightdate,origincityname,crsdeptime,depdelay,distance,marketing_airline_network,hour,delayed,city_clean,latitude,longitude,temp_mean,precipitation,wind_speed
2018-01-03,"Atlanta, GA",1700,1.0,581.0,DL,17,0,Atlanta,33.749,-84.38798,-2.3,0.0,6.9
2018-01-04,"Honolulu, HI",1630,380.0,4983.0,HA,16,1,Honolulu,21.30694,-157.85834,22.4,0.0,19.0
2018-01-27,"Orlando, FL",1335,-2.0,849.0,WN,13,0,Orlando,28.53834,-81.37924,19.3,0.1,18.9
2018-01-03,"Pensacola, FL",600,-4.0,271.0,DL,6,0,Pensacola,30.42131,-87.21691,2.9,0.0,15.9
2018-01-11,"Atlanta, GA",1225,0.0,515.0,DL,12,0,Atlanta,33.749,-84.38798,13.0,5.3,17.5
2018-01-22,"Atlanta, GA",2121,-1.0,444.0,DL,21,0,Atlanta,33.749,-84.38798,11.0,1.8,14.3
2018-01-19,"Charlotte, NC",630,-3.0,331.0,AA,6,0,Charlotte,35.22709,-80.84313,-1.7,0.0,9.1
2018-01-24,"Atlanta, GA",1923,4.0,250.0,DL,19,0,Atlanta,33.749,-84.38798,4.8,0.0,18.1
2018-01-24,"Orlando, FL",821,-1.0,404.0,F9,8,0,Orlando,28.53834,-81.37924,15.1,0.0,11.2
2018-01-22,"Atlanta, GA",1944,8.0,259.0,DL,19,0,Atlanta,33.749,-84.38798,11.0,1.8,14.3
2018-01-24,"Atlanta, GA",1706,12.0,577.0,DL,17,0,Atlanta,33.749,-84.38798,4.8,0.0,18.1
2018-01-05,"Detroit, MI",1027,-5.0,235.0,AA,10,0,Detroit,42.33143,-83.04575,-18.7,0.0,18.1
2018-01-28,"Orlando, FL",600,-9.0,1005.0,NK,6,0,Orlando,28.53834,-81.37924,20.1,7.8,14.1
2018-01-23,"Houston, TX",1015,-4.0,1034.0,UA,10,0,Houston,29.76328,-95.36327,9.6,0.0,10.3
2018-01-03,"New York, NY",759,-3.0,762.0,DL,7,0,New York,40.71427,-74.00597,-7.5,0.0,10.3
2018-01-21,"Houston, TX",1620,-6.0,542.0,UA,16,0,Houston,29.76328,-95.36327,19.0,1.8,20.8
2018-01-23,"Houston, TX",2245,-1.0,140.0,UA,22,0,Houston,29.76328,-95.36327,9.6,0.0,10.3
